name,price,store,brand,location,sold,rating,details_link,description
bubuk daun kelor murni 100% asli tanpa campuran / Moringa powder kemasan 1kg,Rp55.000,,,Kota Surabaya,,0.0,https://www.lazada.co.id/products/bubuk-daun-kelor-murni-100-asli-tanpa-campuran-moringa-powder-kemasan-1kg-i8373222666.html,
Kapsul Daun Kelor Moringa,Rp17.000,,,Kab. Tangerang,,0.0,https://www.lazada.co.id/products/kapsul-daun-kelor-moringa-i6763204015.html,
Jamu Tetes Herbal MKING Membantu Menambah Nutrisi dan Meningkatkan Stamina Tubuh - M KING - Moringa King | M-king | M king | Mking Herbal | Vitamin | Obat Herbal | Obat kanker - M King Moringa Jamu tetes Asli Original 100%,Rp238.900,,,Kab. Kediri,,0.0,https://www.lazada.co.id/products/jamu-tetes-herbal-mking-membantu-menambah-nutrisi-dan-meningkatkan-stamina-tubuh-m-king-moringa-king-m-king-m-king-mking-herbal-vitamin-obat-herbal-obat-kanker-m-king-moringa-jamu-tetes-asli-original-100-i8261150583.html,
BIO MORINGA 20 ML /MORINGA JAMU TETES /Jamu Herbal | Moringa,Rp193.566,,,Kab. Sidoarjo,68 Terjual,0.0,https://www.lazada.co.id/products/bio-moringa-20-ml-moringa-jamu-tetes-jamu-herbal-moringa-i7287598538.html,
Kapsul Ekstrak Daun Kelor BPOM Pro Moringa Ash Shihhah 50 Kp,Rp18.500,,,Kota Bekasi,888 Terjual,0.0,https://www.lazada.co.id/products/kapsul-ekstrak-daun-kelor-bpom-pro-moringa-ash-shihhah-50-kp-i1600334403.html,
Kapsul Daun Kelor / Moringa isi 100. Asli. Alami,Rp12.000,,,Kab. Bogor,44 Terjual,0.0,https://www.lazada.co.id/products/kapsul-daun-kelor-moringa-isi-100-asli-alami-i7132454298.html,
Moringa King | M-king | M king | Mking Herbal | Vitamin | Obat Herbal | Obat kanker,Rp222.277,,,Kab. Sidoarjo,390 Terjual,0.0,https://www.lazada.co.id/products/moringa-king-m-king-m-king-mking-herbal-vitamin-obat-herbal-obat-kanker-i7084614917.html,
Serbuk Bubuk Daun Kelor murni Powder Moringa 1 Kg,Rp12.900,,,Kota Tangerang Selatan,29 Terjual,0.0,https://www.lazada.co.id/products/serbuk-bubuk-daun-kelor-murni-powder-moringa-1-kg-i8280830122.html,
"Bubuk Daun Kelor Moringa 100gr, 250gr, 500gr, 1Kg Organik Superfood Food Grade Multivitamin Asli Original tanpa campuran",Rp35.500,,,Kab. Bandung,101 Terjual,0.0,https://www.lazada.co.id/products/bubuk-daun-kelor-moringa-100gr-250gr-500gr-1kg-organik-superfood-food-grade-multivitamin-asli-original-tanpa-campuran-i8307110932.html,
Serbuk Daun Kelor 350 Gram Safiya Asli Bubuk Moringa Powder Herbal Original,Rp23.700,,,Kota Jakarta Barat,603 Terjual,0.0,https://www.lazada.co.id/products/serbuk-daun-kelor-350-gram-safiya-asli-bubuk-moringa-powder-herbal-original-i1187978420.html,
Daun Kelor Moringa Bubuk Premium Pure Organik 50 Gr,Rp12.000,,,Kota Tangerang Selatan,8 Terjual,0.0,https://www.lazada.co.id/products/daun-kelor-moringa-bubuk-premium-pure-organik-50-gr-i8333854487.html,
Natur Shampoo Natural Extract Ginseng Aloe Vera Moringa Argan Menyuburkan Menguatkan Rambut Anti Ketombe Lepek 140ml 270ml,Rp29.498,,,Kota Tangerang,93 Terjual,0.0,https://www.lazada.co.id/products/natur-shampoo-natural-extract-ginseng-aloe-vera-moringa-argan-menyuburkan-menguatkan-rambut-anti-ketombe-lepek-140ml-270ml-i8307612596.html,
Daun Kelor Moringa Bubuk Premium Pure Organic,Rp12.000,,,Kota Depok,33 Terjual,0.0,https://www.lazada.co.id/products/daun-kelor-moringa-bubuk-premium-pure-organic-i8308882670.html,
Teh Daun Kelor Moringa - Teh Celup Daun Kelor Asli - Obat Herbal Teh Daun Kelor Moringa,Rp26.000,,,Kota Malang,,0.0,https://www.lazada.co.id/products/teh-daun-kelor-moringa-teh-celup-daun-kelor-asli-obat-herbal-teh-daun-kelor-moringa-i4774272691.html,
teh DAUN KELOR kering 1KG 1 kg moringa,Rp42.263,,,Kab. Blora,,0.0,https://www.lazada.co.id/products/teh-daun-kelor-kering-1kg-1-kg-moringa-i8364440643.html,
Daun kelor kapsul moringa suplemen kesehatan keloreena asi booster dan perawatan kulit organik isi 50 kapsul,Rp26.000,,,Kota Semarang,,0.0,https://www.lazada.co.id/products/daun-kelor-kapsul-moringa-suplemen-kesehatan-keloreena-asi-booster-dan-perawatan-kulit-organik-isi-50-kapsul-i7192454754.html,
BIO MORINGA 20 ML | Daun Kelor | EKSTRAK DAUN KELOR | JAMU TETES KESEHATAN 100% ORIGINAL ORIGINAL,Rp220.000,,,Kab. Karawang,,0.0,https://www.lazada.co.id/products/bio-moringa-20-ml-daun-kelor-ekstrak-daun-kelor-jamu-tetes-kesehatan-100-original-original-i7970818234.html,
Pro Moringa - Kapsul Ekstrak Daun Kelor,Rp21.348,,,Kota Medan,74 Terjual,0.0,https://www.lazada.co.id/products/pro-moringa-kapsul-ekstrak-daun-kelor-i5586144798.html,
BUBUK DAUN KELOR 150G DAUN KELOR ORGANIK SERBUK PREMIUM SUPER HALUS BUBUK POWDER MORINGA 100% ORIGINAL PURE ORGANIC NUTRIFARM / BEORGANIK / DARI BUMI / SAFIYA / GALLEO,Rp46.000,,,Kota Bogor,,0.0,https://www.lazada.co.id/products/bubuk-daun-kelor-150g-daun-kelor-organik-serbuk-premium-super-halus-bubuk-powder-moringa-100-original-pure-organic-nutrifarm-beorganik-dari-bumi-safiya-galleo-i8302688590.html,
Bubuk/serbuk daun kelor moringa oleifera super food murni 1kg,Rp25.000,,,Kab. Situbondo,27 Terjual,0.0,https://www.lazada.co.id/products/bubukserbuk-daun-kelor-moringa-oleifera-super-food-murni-1kg-i7582520797.html,
